Team,Conference
Kansas,Big 12
Oregon,Pac-12
Virginia,Atlantic Coast
Villanova,Big East
North Carolina,Atlantic Coast
Oklahoma,Big 12
Xavier,Big East
Utah,Pac-12
Miami FL,Atlantic Coast
West Virginia,Big 12
Michigan St,Big Ten
Kentucky,Southeastern
SMU,AAC
Purdue,Big Ten
Maryland,Big Ten
California,Pac-12
Texas A&M,Southeastern
Louisville,Atlantic Coast
Seton Hall,Big East
Duke,Atlantic Coast
Dayton,Atlantic 10
Iowa St,Big 12
St Joseph's PA,Atlantic 10
Indiana,Big Ten
Baylor,Big 12
Arizona,Pac-12
Texas,Big 12
South Dakota,Summit League
Iowa,Big Ten
St Bonaventure,Atlantic 10
VA Commonwealth,Atlantic 10
Notre Dame,Atlantic Coast
Oregon St,Pac-12
Akron,Mid-American
Colorado,Pac-12
Texas Tech,Big 12
Mt St Mary's,West Coast
Princeton,Ivy League
Providence,Big East
San Diego St,Mountain West
Connecticut,AAC
Wisconsin,Big Ten
Yale,Ivy League
Gonzaga,West Coast
UNC Wilmington,Colonial
Ark Little Rock,Sun Belt
Cincinnati,AAC
Wichita St,Missouri Valley
Valparaiso,Horizon
Chattanooga,Southern
USC,Pac-12
Pittsburgh,Atlantic Coast
Monmouth NJ,Metro Atlantic
Hofstra,Colonial
Florida,Southeastern
Butler,Big East
Michigan,Big Ten
Tulsa,AAC
Temple,AAC
Stony Brook,America East
Vanderbilt,Southeastern
SF Austin,Southland
Davidson,Atlantic 10