110_Teams,110,111_Teams,111,112_Teams,112,113_Teams,113,114_Teams,114,115_Teams,115,116_Teams,116,117_Teams,117,120_Teams,120,121_Teams,121,122_Teams,122,123_Teams,123,130_Teams,130,131_Teams,131,140_Teams,140,210_Teams,210,211_Teams,211,212_Teams,212,213_Teams,213,214_Teams,214,215_Teams,215,216_Teams,216,217_Teams,217,220_Teams,220,221_Teams,221,222_Teams,222,223_Teams,223,230_Teams,230,231_Teams,231,240_Teams,240,310_Teams,310,311_Teams,311,312_Teams,312,313_Teams,313,314_Teams,314,315_Teams,315,316_Teams,316,317_Teams,317,320_Teams,320,321_Teams,321,322_Teams,322,323_Teams,323,330_Teams,330,331_Teams,331,340_Teams,340,410_Teams,410,411_Teams,411,412_Teams,412,413_Teams,413,414_Teams,414,415_Teams,415,416_Teams,416,417_Teams,417,420_Teams,420,421_Teams,421,422_Teams,422,423_Teams,423,430_Teams,430,431_Teams,431,440_Teams,440,530_Teams,530,531_Teams,531,640_Teams,640
Kansas,97,Villanova,71,Miami (FL),72,Hawaii,56,Maryland,58,Arizona,60,Iowa,52,Connecticut,56,Kansas,49,Villanova,42,Arizona,40,Hawaii,27,Kansas,24,Villanova,23,Kansas,14,Oregon,66,Oklahoma,67,Texas A&amp;M,74,Duke,92,Yale,63,Texas,55,Oregon State,61,Cincinnati,61,Cincinnati,34,Oklahoma,45,Texas A&amp;M,41,Duke,68,Cincinnati,28,Oklahoma,31,Cincinnati,19,North Carolina,58,Xavier,61,West Virginia,87,Kentucky,53,Indiana,58,Notre Dame,53,Wisconsin,73,Providence,64,North Carolina,42,Weber State,31,West Virginia,46,Kentucky,35,Indiana,23,West Virginia,30,West Virginia,16,Virginia,79,Michigan State,57,Utah,56,Iowa State,66,Purdue,74,Gonzaga,68,Dayton,71,Butler,72,Virginia,43,Dayton,39,Utah,29,Purdue,42,Purdue,27,Michigan State,19,Purdue,16,Villanova,12,Purdue,13,Kansas,7
Austin Peay,3,North Carolina-Asheville,29,Buffalo,28,University of California,44,South Dakota State,42,Wichita State,40,Temple,48,Colorado,44,Connecticut,32,Iowa,29,Miami (FL),35,University of California,25,South Dakota State,20,Arizona,22,Villanova,13,Holy Cross,34,Cal State Bakersfield,33,Green Bay,26,North Carolina-Wilmington,8,Baylor,37,Northern Iowa,45,Virginia Commonwealth,39,Saint Joseph's,39,Oregon,30,Oregon State,23,Texas,30,Baylor,17,Duke,24,Texas,17,Oklahoma,15,Florida Gulf Coast,42,Weber State,39,Stephen F. Austin,13,Stony Brook,47,Chattanooga,42,Michigan,47,Pittsburgh,27,Southern California,36,Providence,36,Wisconsin,30,Notre Dame,27,Indiana,33,Kentucky,23,Wisconsin,17,Wisconsin,14,Hampton,21,Middle Tennessee,43,Fresno State,44,Iona,34,Arkansas-Little Rock,26,Seton Hall,32,Syracuse,29,Texas Tech,28,Butler,38,Michigan State,26,Gonzaga,29,Iowa State,35,Iowa State,22,Dayton,17,Iowa State,14,Texas,9,Iowa State,9,Purdue,7
Oregon,0,Oregon,0,Middle Tennessee,0,Texas,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Colorado,18,Temple,22,Wichita State,17,Maryland,24,Connecticut,15,Iowa,18,Iowa,12,Middle Tennessee,0,Austin Peay,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Saint Joseph's,20,Virginia Commonwealth,20,Northern Iowa,17,Yale,13,Oregon,16,Virginia Commonwealth,13,Duke,12,Middle Tennessee,0,Oregon State,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Florida Gulf Coast,16,Xavier,30,Michigan,19,Stony Brook,17,Providence,18,Notre Dame,17,Notre Dame,13,Middle Tennessee,0,Virginia Commonwealth,0,Middle Tennessee,0,Holy Cross,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Middle Tennessee,0,Texas Tech,14,Syracuse,19,Fresno State,24,Arkansas-Little Rock,16,Virginia,17,Utah,16,Butler,13,South Dakota State,8,Butler,9,Villanova,6
Virginia Commonwealth,0,Virginia Commonwealth,0,Duke,0,Saint Joseph's,0,North Carolina-Wilmington,0,Saint Joseph's,0,Duke,0,North Carolina-Wilmington,0,Austin Peay,1,North Carolina-Asheville,7,Buffalo,8,South Dakota State,24,University of California,14,Miami (FL),16,Arizona,10,Michigan State,0,Colorado,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Holy Cross,16,Cal State Bakersfield,12,Green Bay,12,North Carolina-Wilmington,2,Saint Joseph's,10,Texas A&amp;M,13,Oregon,9,Oregon,0,Green Bay,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Southern California,6,Pittsburgh,9,Stephen F. Austin,8,Chattanooga,15,North Carolina,14,Xavier,16,Kentucky,9,Yale,0,Oregon State,0,Duke,0,Saint Joseph's,0,Yale,0,Duke,0,Duke,0,Yale,0,Hampton,5,Middle Tennessee,16,Seton Hall,18,Iona,7,Butler,15,Gonzaga,14,Michigan State,12,Oklahoma,8,West Virginia,8,Iowa State,6
Oregon State,0,Oregon State,0,Saint Joseph's,0,Cincinnati,0,Saint Joseph's,0,Cincinnati,0,Saint Joseph's,0,Saint Joseph's,0,Texas,0,Duke,0,Holy Cross,0,Middle Tennessee,0,Hawaii,12,Temple,15,South Dakota State,9,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Green Bay,0,Virginia Commonwealth,0,Middle Tennessee,0,Connecticut,0,Middle Tennessee,0,Middle Tennessee,0,Baylor,9,Cal State Bakersfield,8,Texas,9,Oregon State,0,Texas A&amp;M,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Middle Tennessee,0,Texas A&amp;M,0,Middle Tennessee,0,Saint Joseph's,0,Chattanooga,9,Weber State,9,Xavier,8,Holy Cross,0,Green Bay,0,Holy Cross,0,Cincinnati,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Middle Tennessee,0,Austin Peay,0,Middle Tennessee,0,Oregon,0,Arkansas-Little Rock,8,Fresno State,12,Utah,8,Kansas,8,Xavier,8,West Virginia,5
Green Bay,0,Green Bay,0,Cincinnati,0,Baylor,0,Cincinnati,0,Baylor,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Texas,0,Maryland,9,Wichita State,4,Connecticut,8,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Texas A&amp;M,0,Oregon State,0,Michigan State,0,Maryland,0,Michigan State,0,Michigan State,0,Holy Cross,7,Oregon State,7,Virginia Commonwealth,8,Green Bay,0,Northern Iowa,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Duke,0,Northern Iowa,0,Baylor,0,Cincinnati,0,Stony Brook,7,Michigan,7,North Carolina,8,Saint Joseph's,0,Texas A&amp;M,0,Saint Joseph's,0,Baylor,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Cincinnati,0,Oregon,0,Yale,0,Holy Cross,0,Texas Tech,6,Seton Hall,8,Virginia,7,Arizona,7,Wisconsin,7,Butler,5
Texas A&amp;M,0,Texas A&amp;M,0,Baylor,0,Yale,0,Baylor,0,Yale,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Cincinnati,0,Colorado,6,Buffalo,1,Temple,7,Green Bay,0,Green Bay,0,Northern Iowa,0,Green Bay,0,Green Bay,0,Green Bay,0,Northern Iowa,0,Green Bay,0,Virginia Commonwealth,0,Austin Peay,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Yale,5,Northern Iowa,6,Texas A&amp;M,6,Texas A&amp;M,0,Texas,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Saint Joseph's,0,Texas,0,Saint Joseph's,0,Baylor,0,Florida Gulf Coast,4,Pittsburgh,2,Indiana,8,Cincinnati,0,Northern Iowa,0,Cincinnati,0,Yale,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Oregon,0,Oregon State,0,Oregon,0,Saint Joseph's,0,Iona,4,Middle Tennessee,7,Dayton,6,Connecticut,7,Indiana,5,Iowa,5
Northern Iowa,0,Northern Iowa,0,Yale,0,Duke,0,Yale,0,Duke,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,Baylor,0,Texas,0,North Carolina-Asheville,1,Miami (FL),7,Texas A&amp;M,0,Texas A&amp;M,0,Texas,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas,0,Texas A&amp;M,0,Oregon State,0,Colorado,0,Oregon State,0,Oregon State,0,North Carolina-Wilmington,1,Green Bay,5,Baylor,5,Northern Iowa,0,North Carolina-Wilmington,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Cincinnati,0,North Carolina-Wilmington,0,Cincinnati,0,Yale,0,Southern California,2,Stephen F. Austin,2,Providence,6,Baylor,0,Texas,0,Baylor,0,Duke,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Holy Cross,0,Green Bay,0,Holy Cross,0,Cincinnati,0,Hampton,1,Syracuse,7,Gonzaga,6,Duke,6,Notre Dame,5,Texas,4
Texas,0,Texas,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,Duke,0,North Carolina-Wilmington,0,Duke,0,Yale,0,Baylor,0,North Carolina-Wilmington,0,Maryland,6,Northern Iowa,0,Northern Iowa,0,North Carolina-Wilmington,0,Northern Iowa,0,Northern Iowa,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Northern Iowa,0,Green Bay,0,Green Bay,0,North Carolina-Wilmington,0,Green Bay,0,Middle Tennessee,0,Maryland,0,Oregon State,4,Texas,0,Duke,0,Texas,0,Texas,0,Texas,0,Texas,0,Texas,0,Texas,0,Baylor,0,Duke,0,Yale,0,Duke,0,Cincinnati,0,Cincinnati,0,Chattanooga,5,Duke,0,North Carolina-Wilmington,0,Yale,0,Middle Tennessee,0,Duke,0,Yale,0,Yale,0,Duke,0,Saint Joseph's,0,Texas A&amp;M,0,Saint Joseph's,0,Baylor,0,North Carolina-Asheville,0,Baylor,0,Seton Hall,4,Iowa,6,Michigan State,4,Duke,4
North Carolina-Wilmington,0,North Carolina-Wilmington,0,Oregon,0,Middle Tennessee,0,Northern Iowa,0,Oregon,0,Oregon,0,Northern Iowa,0,North Carolina-Wilmington,0,Holy Cross,0,Middle Tennessee,0,Duke,0,Yale,0,Cincinnati,0,University of California,6,Texas,0,Texas,0,Duke,0,Texas,0,Texas,0,Duke,0,Duke,0,Texas,0,Texas A&amp;M,0,Texas A&amp;M,0,Duke,0,Texas A&amp;M,0,Michigan State,0,Saint Joseph's,0,Cal State Bakersfield,3,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Yale,0,Baylor,0,Virginia Commonwealth,0,Middle Tennessee,0,Baylor,0,Baylor,0,Weber State,4,North Carolina-Asheville,0,Duke,0,Texas,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Texas,0,Texas,0,North Carolina-Asheville,0,Baylor,0,Northern Iowa,0,Cincinnati,0,Yale,0,Oregon,0,Oregon,0,Arkansas-Little Rock,4,Texas A&amp;M,5,Dayton,4,Xavier,4
Duke,0,Duke,0,Texas,0,Oregon,0,Texas,0,Texas,0,Texas,0,Texas,0,Texas A&amp;M,0,Texas,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,Texas,0,Hawaii,4,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Northern Iowa,0,Northern Iowa,0,Yale,0,Northern Iowa,0,Virginia Commonwealth,0,Austin Peay,0,Yale,2,Duke,0,Baylor,0,Duke,0,Duke,0,Duke,0,Duke,0,Duke,0,Duke,0,Northern Iowa,0,Cincinnati,0,Duke,0,Virginia Commonwealth,0,Yale,0,Holy Cross,0,Stony Brook,4,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Villanova,0,Texas,0,Baylor,0,Middle Tennessee,0,Holy Cross,0,Holy Cross,0,Texas Tech,3,Oregon,4,Kentucky,4,Wisconsin,4
Yale,0,Yale,0,Northern Iowa,0,Northern Iowa,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Texas,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Northern Iowa,0,Wichita State,2,Duke,0,Duke,0,Baylor,0,Baylor,0,Duke,0,Baylor,0,Baylor,0,Duke,0,Texas,0,Texas,0,Baylor,0,Texas,0,Oregon State,0,Colorado,0,Green Bay,2,Yale,0,Cincinnati,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,Yale,0,North Carolina-Wilmington,0,Saint Joseph's,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Duke,0,Oregon,0,Michigan,2,Texas,0,Baylor,0,North Carolina-Asheville,0,Texas,0,Texas,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Texas,0,Yale,0,North Carolina-Wilmington,0,Texas,0,Villanova,0,Saint Joseph's,0,Saint Joseph's,0,Middle Tennessee,3,Cincinnati,3,Michigan,3,Oklahoma,3
Baylor,0,Baylor,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Holy Cross,0,Texas A&amp;M,0,Northern Iowa,0,Northern Iowa,0,Oregon State,0,Texas A&amp;M,0,North Carolina-Asheville,1,Yale,0,Yale,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Cincinnati,0,Cincinnati,0,Green Bay,0,Connecticut,0,Northern Iowa,2,Baylor,0,Saint Joseph's,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Baylor,0,Texas,0,Holy Cross,0,Texas,0,Texas,0,Middle Tennessee,0,North Carolina-Asheville,0,Florida Gulf Coast,2,Northern Iowa,0,Cincinnati,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Northern Iowa,0,Duke,0,Duke,0,Duke,0,Duke,0,Cincinnati,0,Cincinnati,0,Fresno State,2,Baylor,3,Seton Hall,3,Texas A&amp;M,3
Cincinnati,0,Cincinnati,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas A&amp;M,0,Holy Cross,0,Northern Iowa,0,Green Bay,0,Colorado,1,Baylor,0,Baylor,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Baylor,0,Duke,0,Duke,0,Saint Joseph's,0,Saint Joseph's,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Holy Cross,2,Cincinnati,0,Holy Cross,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Cincinnati,0,Virginia Commonwealth,0,Oregon,0,Northern Iowa,0,Northern Iowa,0,Green Bay,0,Yale,0,Southern California,1,Texas A&amp;M,0,Saint Joseph's,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Yale,0,North Carolina-Wilmington,0,North Carolina-Wilmington,0,Middle Tennessee,0,Texas,0,Syracuse,2,University of California,2,Utah,3,South Dakota State,3
Saint Joseph's,0,Saint Joseph's,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Green Bay,0,Green Bay,0,Texas A&amp;M,0,Oregon State,0,Buffalo,0,Cincinnati,0,Cincinnati,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Yale,0,Yale,0,Holy Cross,0,Holy Cross,0,Northern Iowa,0,Duke,0,Saint Joseph's,2,Saint Joseph's,0,Oregon,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Saint Joseph's,0,Texas A&amp;M,0,North Carolina-Asheville,0,Texas A&amp;M,0,Texas A&amp;M,0,North Carolina-Wilmington,0,Duke,0,Holy Cross,0,Green Bay,0,Holy Cross,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas,0,Baylor,0,Villanova,0,Texas,0,Temple,0,Yale,0,Iowa,0,Wichita State,2,Arkansas-Little Rock,2,Indiana,3
Holy Cross,0,Holy Cross,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Oregon State,0,Oregon State,0,Green Bay,0,Virginia Commonwealth,0,Duke,0,Saint Joseph's,0,Saint Joseph's,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Baylor,0,Baylor,0,Oregon,0,Oregon,0,Texas,0,Yale,0,Wichita State,0,Holy Cross,0,North Carolina-Asheville,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Green Bay,0,Green Bay,0,Green Bay,0,Green Bay,0,Texas,0,North Carolina-Wilmington,0,Saint Joseph's,0,Oregon State,0,Oregon,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Oregon State,0,Northern Iowa,0,Cincinnati,0,Northern Iowa,0,Northern Iowa,0,Baylor,0,Duke,0,Duke,0,Miami (FL),2,North Carolina,2,Notre Dame,3
North Carolina-Asheville,0,Middle Tennessee,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Holy Cross,0,Saint Joseph's,0,Saint Joseph's,0,Virginia Commonwealth,0,Virginia Commonwealth,0,Saint Joseph's,0,Duke,0,Virginia Commonwealth,0,North Carolina-Asheville,0,Holy Cross,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Cincinnati,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Baylor,0,Austin Peay,0,North Carolina-Asheville,0,Middle Tennessee,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Holy Cross,0,Yale,0,Holy Cross,0,Holy Cross,0,Northern Iowa,0,Texas,0,Cincinnati,0,Oregon,0,North Carolina-Asheville,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Oregon,0,Texas A&amp;M,0,Saint Joseph's,0,Texas A&amp;M,0,Texas A&amp;M,0,Yale,0,North Carolina-Wilmington,0,Yale,0,Oregon State,2,Providence,2,North Carolina,2
Michigan State,0,Michigan State,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Middle Tennessee,0,Saint Joseph's,0,Saint Joseph's,0,Virginia Commonwealth,0,Yale,0,Oregon State,0,Villanova,0,Oregon,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Saint Joseph's,0,Villanova,0,Villanova,0,Villanova,0,Cincinnati,0,Colorado,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oregon,0,Middle Tennessee,0,Oregon,0,Oregon,0,Saint Joseph's,0,Northern Iowa,0,Baylor,0,Temple,0,Villanova,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Green Bay,0,Holy Cross,0,Green Bay,0,Green Bay,0,Duke,0,Villanova,0,Baylor,0,Northern Iowa,1,Chattanooga,2,Wichita State,2
Villanova,0,Temple,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Michigan State,0,Oregon,0,Oregon,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Cincinnati,0,Baylor,0,Green Bay,0,Temple,0,Michigan State,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Holy Cross,0,Temple,0,Temple,0,Temple,0,Holy Cross,0,Connecticut,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,North Carolina-Asheville,0,Virginia Commonwealth,0,North Carolina-Asheville,0,North Carolina-Asheville,0,Holy Cross,0,Saint Joseph's,0,Yale,0,Villanova,0,Temple,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Asheville,0,North Carolina-Wilmington,0,Northern Iowa,0,Cincinnati,0,North Carolina-Asheville,1,Stony Brook,2,Kentucky,2
Temple,0,Iowa,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Michigan State,0,Michigan State,0,Oregon,0,Oregon,0,North Carolina-Asheville,0,Middle Tennessee,0,Texas A&amp;M,0,Iowa,0,Villanova,0,Iowa,0,Iowa,0,Iowa,0,Iowa,0,Iowa,0,Iowa,0,Iowa,0,Oregon,0,Iowa,0,Iowa,0,Iowa,0,South Dakota State,0,Maryland,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Temple,0,Villanova,0,Villanova,0,Villanova,0,Villanova,0,Oregon,0,Middle Tennessee,0,Duke,0,Oklahoma,0,Iowa,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Oklahoma,0,Iowa,0,Colorado,0,Iowa,0,Iowa,0,Texas,0,North Carolina-Asheville,0,Saint Joseph's,0,Yale,1,Fresno State,1,Baylor,2
